PREGUNTAS FRECUENTES;USUARIOS;FECHA;EDAD
que significa ux?;usuario 1;15/10/19;18
me gustaria saber informacion sobre el bootcamp de web que proporciona ironhack;usuario 2;15/10/19;22
que tipo de cursos se imparten en ironhack?;usuario 3;15/10/19;22
como son los prcesos de admisionpara hacer el curso de data?;usuario 4;16/10/19;23
tengo que saber a programar para hacer el bootcamp de web en ironhack?;usuario 5;16/10/19;23
que precio tienen los bootcamps?;usuario 3;20/10/19;24
te ha creado un web developer?;usuario 7;16/10/19;24
por que ironhack es la mejor escuela de programacion?;usuario 8;22/10/19;22
teneis alojamientos?;usuario 9;16/10/19;26
donde me puedo alojar en madrid?;usuario 10;17/10/19;27
es muy dificil data analytics?;usuario 11;18/10/19;27
hay becas?;usuario 12;19/10/19;29
cuantos campus de ironhack hay en total?;usuario 13;20/10/19;21
cuanto duran los bootcamps de part time?;usuario 14;21/10/19;35
si empiezo un curso en full time y encuentro trabajo al mes podria cambiarme a part time?;usuario 5;20/10/19;
qque tipo de empresas vendrian a vernos en la hiring week?;usuario 3;15/10/19;
se asegura encontrar empleo en la hiring week?;usuario 3;16/10/19;
se puede faltar a clase?;usuario 3;16/10/19;
se puede cursar el bootcamp de manera online?;usuario 4;20/10/19;
quiero hacer el bootcamop de ux;usuario 1;17/10/19;
que tal;usuario 7;19/10/19;
como te llamas?;usuario 7;22/10/19;
hay comerdor en el campus de madrid?;usuario 7;20/10/19;
que campus es mejor?;usuario 14;19/10/19;
ees mejor ell campus de madrid o el de barcelona?;usuario 4;22/10/19;
hay servicio de comedor o me tengo que preparar tuppers?;usuario 10;19/10/19;
que horario tiene ell campus?;usuario 11;20/10/19;
que pasa si no puedo ir algun dia a clase;usuario 6;19/10/19;
donde me pueedo alojar en madrid?;usuario 4;22/10/19;
son caros los pisos en barcelona?;usuario 7;23/10/19;
hay fiesta de fin de bootcamp?;usuario 10;24/10/19;
qque significa la career week?;usuario 1;25/10/19;
Los horarios son flexibles?;usuario 10;15/10/19;
quienes serian los profesores?;usuario 3;19/10/19;
hay comedor en ironhack?;usuario 3;20/10/19;
no soy de madrid y no sabria donde alojarme;usuario 3;19/10/19;
quiero ser programador web;usuario 3;19/10/19;
ess muy dificil el bootcamp de data analytics?;usuario 1;19/10/19;
se pueede programar sin saber matematicas?;usuario 1;19/10/19;
cuantas empresas vienen a la hiring week de data?;usuario 1;20/10/19;
en que consiste la hiring week?;usuario 3;15/10/19;
quue es la career week de ironhack?;usuario 5;19/10/19;
el bootcamp de verano en barcelona tiene parones por vacaciones?;usuario 14;19/10/19;
como son los salarios de ux ui?;usuario 14;20/10/19;
ess necesario tener nociones de dise_o para ser ux ui?;usuario 14;19/10/19;
hay mucha programacion en el bootcamp de ux ui?;usuario 14;19/10/19;
tienes nombre?;usuario 3;15/10/19;
hola soy ironhack;usuario 14;19/10/19;
no puedo permitirme ell bootcamp hay becas?;usuario 13;19/10/19;
que tipo de becas hay en ironhack madrid?;usuario 10;19/10/19;
hay material online para practicar antes de empezar eel bootcampde data?;usuario 1;15/10/19;
la camiseta de ironhacker que precio tiene?;usuario 10;19/10/19;
en que me puedes ayudar?;usuario 5;19/10/19;
ironhack;usuario 3;19/10/19;
Quee te puedo preguntar sobre ironhack?;usuario 13;19/10/19;
Como es eel proceso de admision de data?;usuario 10;19/10/19;
Queu probabilidades tengo de entrar en web development sin saber nada de programacion?;usuario 10;19/10/19;
Cual es eel bootcamp mas facil? Ux?;usuario 10;20/10/19;
Cual es eel bootcamp mas dificil?;usuario 17;19/10/19;
No se si estudiar data en Madrid o en Barcelona;usuario 10;19/10/19;
Se puede ser profesor de data en ironhack?;usuario 1;19/10/19;
quiero impartir clases en ux ui;usuario 14;19/10/19;
Cuando comienza el proximo curso de web development?;usuario 3;19/10/19;
con el bootcamp de web development se puede trabajar de full stack?;usuario 14;20/10/19;
que certificados de data hay?;usuario 13;17/10/19;
en el bootcamp de data analytics se aprende stadistica con R?;usuario 3;20/10/19;
quee ees la hiring week;usuario 10;22/10/19;
quee tipo de becas hay ?;usuario 5;20/10/19;
ell precio de data analytics es mucho?;usuario 3;19/10/19;
becas paraa mujeres?;usuario 13;22/10/19;
hiring week que ees;usuario 10;19/10/19;
quee ees ux?;usuario 10;20/10/19;
